Medicine_ID,Medicine_Name,Category,Manufacturer,Is_Critical,Month,Opening_Stock,Restock_Qty,Monthly_Demand,Fulfilled_Demand,Stockout_Units,Stockout_Flag,Closing_Stock,Lead_Time_Days,Unit_Cost_INR,Holding_Cost_Percent,Ordering_Cost_INR,Shelf_Life_Months
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-02,142,1040,825,825,0,No,357,5,6.15,0.12,192.97,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-03,357,1026,1096,1096,0,No,287,5,6.15,0.12,192.1,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-04,287,1369,1378,1378,0,No,278,5,6.05,0.12,189.43,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-05,278,1549,1722,1722,0,No,105,5,6.05,0.12,190.86,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-06,105,2745,2334,2334,0,No,516,5,6.05,0.12,186.26,18
MED0002,Amoxicillin 1mg Ointment,Respiratory,Biocon,Yes,2026-07,516,0,2641,516,2125,Yes,0,5,6.05,0.12,184.44,18
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-08,1290,6315,6468,6468,0,No,1137,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-09,1137,5512,5370,5370,0,No,1279,5,136.83,0.13,333.23,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-10,1279,7404,5788,5788,0,No,2895,5,136.83,0.13,339.23,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-11,2895,5350,5490,5490,0,No,2755,5,136.83,0.13,332.91,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-12,2755,4378,6143,6143,0,No,990,5,136.83,0.13,333.21,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-01,990,5773,5561,5561,0,No,1202,5,136.83,0.13,335.16,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-02,1202,0,5195,1202,3993,Yes,0,5,136.83,0.13,325.61,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-03,0,5744,6302,5744,558,Yes,0,5,136.83,0.13,327.87,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-04,0,4717,6080,4717,1363,Yes,0,5,136.83,0.13,320.93,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-05,0,0,5150,0,5150,Yes,0,5,136.83,0.13,311.77,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-06,0,4795,5180,4795,385,Yes,0,5,136.83,0.13,321.22,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-07,0,7203,6423,6423,0,No,780,5,136.83,0.13,331.02,9
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-08,328,1383,1892,1711,181,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-09,0,1722,1458,1458,0,No,264,3,396.39,0.13,328.14,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-10,264,1416,1791,1680,111,Yes,0,3,396.39,0.13,324.18,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-11,0,1579,1543,1543,0,No,36,3,396.39,0.13,316.02,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-12,36,0,1440,36,1404,Yes,0,3,396.39,0.13,319.76,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-01,0,1895,1605,1605,0,No,290,3,396.39,0.13,318.55,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-02,290,0,1633,290,1343,Yes,0,3,396.39,0.13,310.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-03,0,1849,1836,1836,0,No,13,3,396.39,0.13,310.79,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-04,13,1721,1643,1643,0,No,91,3,387.43,0.13,301.35,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-05,91,0,1669,91,1578,Yes,0,3,387.43,0.13,309.65,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-06,0,1695,1495,1495,0,No,200,3,387.43,0.13,304.76,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-07,200,1293,1469,1469,0,No,24,3,387.43,0.13,308.06,18
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-08,134,1067,1130,1130,0,No,71,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-09,71,0,1431,71,1360,Yes,0,2,157.19,0.13,141.03,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-10,0,0,1272,0,1272,Yes,0,2,157.19,0.13,141.44,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-11,0,2180,2103,2103,0,No,77,2,157.19,0.13,138.64,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-12,77,2237,2119,2119,0,No,195,2,157.19,0.13,142.81,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-01,195,1626,2281,1821,460,Yes,0,2,157.19,0.13,145.25,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-02,0,1753,2244,1753,491,Yes,0,2,157.19,0.13,149.15,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-03,0,1535,1313,1313,0,No,222,2,157.19,0.13,152.65,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-04,222,1125,1330,1330,0,No,17,2,157.19,0.13,153.52,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-05,17,0,1134,17,1117,Yes,0,2,157.19,0.13,153.53,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-06,0,1189,1091,1091,0,No,98,2,157.19,0.13,149.88,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-07,98,872,967,967,0,No,3,2,157.19,0.13,147.18,24
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-08,493,0,1998,493,1505,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-09,0,2648,2241,2241,0,No,407,4,132.63,0.12,166.34,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-10,407,1636,2069,2043,26,Yes,0,4,132.63,0.12,164.46,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-11,0,2314,2516,2314,202,Yes,0,4,132.63,0.12,163.26,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-12,0,0,2036,0,2036,Yes,0,4,132.63,0.12,160.79,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-01,0,2770,2646,2646,0,No,124,4,132.63,0.12,164.34,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-02,124,2406,2595,2530,65,Yes,0,4,132.63,0.12,162.79,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-03,0,3107,2547,2547,0,No,560,4,132.63,0.12,160.43,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-04,560,0,2583,560,2023,Yes,0,4,140.38,0.12,160.89,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-05,0,2489,2340,2340,0,No,149,4,140.38,0.12,157.02,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-06,149,1562,2079,1711,368,Yes,0,4,140.38,0.12,160.28,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-07,0,1623,2284,1623,661,Yes,0,4,140.38,0.12,155.84,12
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-08,1523,2985,2484,2484,0,No,2024,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-09,2024,1480,1865,1865,0,No,1639,14,680.11,0.19,70.77,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-10,1639,2402,1864,1864,0,No,2177,14,680.11,0.19,69.45,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-11,2177,1142,1255,1255,0,No,2064,14,680.11,0.19,67.28,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-12,2064,1577,1496,1496,0,No,2145,14,680.11,0.19,68.66,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-01,2145,1543,1280,1280,0,No,2408,14,680.11,0.19,69.57,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-02,2408,1501,1297,1297,0,No,2612,14,680.11,0.19,70.57,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-03,2612,2383,1953,1953,0,No,3042,14,680.11,0.19,71.76,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-04,3042,2040,2597,2597,0,No,2485,14,680.11,0.19,69.89,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-05,2485,4092,3352,3352,0,No,3225,14,680.11,0.19,69.27,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-06,3225,0,3637,3225,412,Yes,0,14,680.11,0.19,67.59,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-07,0,2732,2830,2732,98,Yes,0,14,680.11,0.19,69.18,24
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-08,243,1413,1527,1527,0,No,129,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-09,129,1240,1353,1353,0,No,16,3,570.74,0.24,215.66,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-10,16,1230,1420,1246,174,Yes,0,3,570.74,0.24,213.38,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-11,0,1734,1593,1593,0,No,141,3,570.74,0.24,207.5,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-12,141,1243,1210,1210,0,No,174,3,570.74,0.24,204.95,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-01,174,1715,1350,1350,0,No,539,3,570.74,0.24,202.59,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-02,539,0,1371,539,832,Yes,0,3,570.74,0.24,205.69,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-03,0,1220,1214,1214,0,No,6,3,570.74,0.24,207.54,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-04,6,1058,1301,1064,237,Yes,0,3,570.74,0.24,212.76,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-05,0,1514,1393,1393,0,No,121,3,570.74,0.24,212.39,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-06,121,1095,1473,1216,257,Yes,0,3,570.74,0.24,207.26,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-07,0,1479,1314,1314,0,No,165,3,570.74,0.24,210.13,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-08,141,301,241,241,0,No,201,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-09,201,367,290,290,0,No,278,14,199.81,0.19,278.73,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-10,278,265,315,315,0,No,228,14,199.81,0.19,279.79,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-11,228,352,386,386,0,No,194,14,199.81,0.19,284.47,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-12,194,473,431,431,0,No,236,14,199.81,0.19,284.36,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-01,236,400,485,485,0,No,151,14,199.81,0.19,284.75,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-02,151,462,361,361,0,No,252,14,199.81,0.19,283.5,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-03,252,240,335,335,0,No,157,14,199.81,0.19,275.3,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-04,157,228,221,221,0,No,164,14,199.81,0.19,268.53,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-05,164,169,225,225,0,No,108,14,199.81,0.19,260.44,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-06,108,264,204,204,0,No,168,14,199.81,0.19,262.8,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-07,168,202,210,210,0,No,160,14,199.81,0.19,259.59,12
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-08,971,3292,2690,2690,0,No,1573,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-09,1573,1966,2213,2213,0,No,1326,5,175.14,0.19,313.99,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-10,1326,0,2559,1326,1233,Yes,0,5,175.14,0.19,322.05,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-11,0,1996,2436,1996,440,Yes,0,5,175.14,0.19,317.09,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-12,0,2883,2492,2492,0,No,391,5,175.14,0.19,315.32,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-01,391,1876,2553,2267,286,Yes,0,5,175.14,0.19,320.37,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-02,0,3003,2368,2368,0,No,635,5,175.14,0.19,315.01,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-03,635,3119,2754,2754,0,No,1000,5,175.14,0.19,306.65,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-04,1000,3362,2887,2887,0,No,1475,5,177.94,0.19,302.49,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-05,1475,0,2597,1475,1122,Yes,0,5,177.94,0.19,295.79,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-06,0,1612,2263,1612,651,Yes,0,5,177.94,0.19,304.29,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-07,0,2783,2720,2720,0,No,63,5,177.94,0.19,310.38,6
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-08,475,3488,2896,2896,0,No,1067,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-09,1067,4158,3343,3343,0,No,1882,2,408.84,0.19,111.4,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-10,1882,1913,2640,2640,0,No,1155,2,408.84,0.19,113.48,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-11,1155,3523,2776,2776,0,No,1902,2,408.84,0.19,111.33,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-12,1902,0,2707,1902,805,Yes,0,2,408.84,0.19,114.02,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-01,0,3413,2943,2943,0,No,470,2,408.84,0.19,114.29,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-02,470,3904,3047,3047,0,No,1327,2,408.84,0.19,116.4,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-03,1327,2384,3096,3096,0,No,615,2,408.84,0.19,118.65,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-04,615,2903,2934,2934,0,No,584,2,408.84,0.19,117.4,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-05,584,3001,3017,3017,0,No,568,2,408.84,0.19,114.73,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-06,568,3728,3303,3303,0,No,993,2,408.84,0.19,112.86,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-07,993,2491,3000,3000,0,No,484,2,408.84,0.19,112.36,12
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-08,1645,0,853,853,0,No,792,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-09,792,657,879,879,0,No,570,21,769.98,0.16,198.04,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-10,570,0,952,570,382,Yes,0,21,769.98,0.16,202.45,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-11,0,1270,1048,1048,0,No,222,21,769.98,0.16,196.42,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-12,222,1221,1012,1012,0,No,431,21,769.98,0.16,196.55,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-01,431,1262,1046,1046,0,No,647,21,769.98,0.16,195.54,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-02,647,856,1025,1025,0,No,478,21,769.98,0.16,192.14,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-03,478,648,876,876,0,No,250,21,769.98,0.16,187.49,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-04,250,1013,1103,1103,0,No,160,21,788.74,0.16,185.5,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-05,160,1328,1058,1058,0,No,430,21,788.74,0.16,190.92,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-06,430,901,818,818,0,No,513,21,788.74,0.16,188.76,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-07,513,870,1071,1071,0,No,312,21,788.74,0.16,188.99,6
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-08,602,1002,1334,1334,0,No,270,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-09,270,0,1190,270,920,Yes,0,7,424.98,0.19,209.58,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-10,0,1208,1149,1149,0,No,59,7,424.98,0.19,215.86,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-11,59,917,997,976,21,Yes,0,7,424.98,0.19,222.02,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-12,0,855,1013,855,158,Yes,0,7,424.98,0.19,218.71,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-01,0,878,1108,878,230,Yes,0,7,424.98,0.19,218.67,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-02,0,1042,1119,1042,77,Yes,0,7,424.98,0.19,216.02,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-03,0,0,1142,0,1142,Yes,0,7,424.98,0.19,213.15,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-04,0,0,1022,0,1022,Yes,0,7,424.98,0.19,206.98,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-05,0,1145,1242,1145,97,Yes,0,7,424.98,0.19,208.44,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-06,0,1365,1194,1194,0,No,171,7,424.98,0.19,208.48,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-07,171,1005,1024,1024,0,No,152,7,424.98,0.19,202.51,12
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-08,766,651,740,740,0,No,677,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-09,677,721,836,836,0,No,562,21,319.36,0.25,283.48,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-10,562,946,902,902,0,No,606,21,319.36,0.25,290.87,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-11,606,1585,1339,1339,0,No,852,21,319.36,0.25,286.15,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-12,852,0,1643,852,791,Yes,0,21,319.36,0.25,279.72,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-01,0,2141,1753,1753,0,No,388,21,319.36,0.25,279.53,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-02,388,0,1541,388,1153,Yes,0,21,319.36,0.25,288.33,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-03,0,828,898,828,70,Yes,0,21,319.36,0.25,283.66,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-04,0,0,816,0,816,Yes,0,21,319.36,0.25,286.78,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-05,0,825,693,693,0,No,132,21,319.36,0.25,291.52,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-06,132,664,643,643,0,No,153,21,319.36,0.25,286.77,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-07,153,0,810,153,657,Yes,0,21,319.36,0.25,290.9,36
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-08,551,2075,1668,1668,0,No,958,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-09,958,2082,1805,1805,0,No,1235,4,77.39,0.27,161.89,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-10,1235,1938,2252,2252,0,No,921,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-11,921,2909,2618,2618,0,No,1212,4,77.39,0.27,164.62,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-12,1212,3273,3668,3668,0,No,817,4,77.39,0.27,164.99,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-01,817,2704,3179,3179,0,No,342,4,77.39,0.27,160.78,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-02,342,2860,2742,2742,0,No,460,4,77.39,0.27,164.23,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-03,460,2513,2033,2033,0,No,940,4,77.39,0.27,162.39,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-04,940,1410,1783,1783,0,No,567,4,77.39,0.27,159.17,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-05,567,1091,1288,1288,0,No,370,4,77.39,0.27,154.45,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-06,370,1360,1259,1259,0,No,471,4,77.39,0.27,155.38,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-07,471,1571,1437,1437,0,No,605,4,77.39,0.27,157.21,6
MED0016,Sertraline 100mg Tablet,Vitamin/Supplement,Zydus,No,2025-08,160,642,905,802,103,Yes,0,7,183.23,0.15,344.47,9
MED0016,Sertraline 100mg Tablet,Vitamin/Supplement,Zydus,No,2025-09,0,510,686,510,176,Yes,0,7,183.23,0.15,333.98,9
MED0016,Sertraline 100mg Tablet,Vitamin/Supplement,Zydus,No,2025-10,0,588,498,498,0,No,90,7,183.23,0.15,334.24,9
MED0016,Sertraline 100mg Tablet,Vitamin/Supplement,Zydus,No,2025-11,90,331,363,363,0,No,58,7,183.23,0.15,328.3,9
