Medicine_ID,Medicine_Name,Category,Manufacturer,Is_Critical,Month,Opening_Stock,Restock_Qty,Monthly_Demand,Demand_Std_Dev,Fulfilled_Demand,Stockout_Units,Stockout_Flag,Closing_Stock,Lead_Time_Days,Unit_Cost_INR,Holding_Cost_Percent,Ordering_Cost_INR,Shelf_Life_Months
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-09,1137,5512,5370,843.3,5370,0,No,1279,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-10,1279,7404,5788,1281,5788,0,No,2895,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-11,2895,5350,5490,1107,5490,0,No,2755,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2025-12,2755,4378,6143,1174.5,6143,0,No,990,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-01,990,5773,5561,1697.1,5561,0,No,1202,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-02,1202,0,5195,1550.2,1202,3993,Yes,0,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-03,0,5744,6302,1195.1,5744,558,Yes,0,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-04,0,4717,6080,1300.2,4717,1363,Yes,0,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-05,0,0,5150,1280.3,0,5150,Yes,0,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-06,0,4795,5180,1754.7,4795,385,Yes,0,5,136.83,0.13,334.15,9
MED0003,Atenolol 250mg Inhaler,Dermatological,Abbott,No,2026-07,0,7203,6423,1663.3,6423,0,No,780,5,136.83,0.13,334.15,9
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-08,328,1383,1892,384.1,1711,181,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-09,0,1722,1458,219.8,1458,0,No,264,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-10,264,1416,1791,451.2,1680,111,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-11,0,1579,1543,347.5,1543,0,No,36,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2025-12,36,0,1440,221.2,36,1404,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-01,0,1895,1605,540.3,1605,0,No,290,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-02,290,0,1633,363.1,290,1343,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-03,0,1849,1836,563,1836,0,No,13,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-04,13,1721,1643,451.9,1643,0,No,91,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-05,91,0,1669,267.1,91,1578,Yes,0,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-06,0,1695,1495,234,1495,0,No,200,3,396.39,0.13,321.89,18
MED0004,Diazepam 500mg Syrup,Dermatological,Zydus,Yes,2026-07,200,1293,1469,466,1469,0,No,24,3,396.39,0.13,321.89,18
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-08,134,1067,1130,227.1,1130,0,No,71,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-09,71,0,1431,230.7,71,1360,Yes,0,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-10,0,0,1272,350,0,1272,Yes,0,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-11,0,2180,2103,530.8,2103,0,No,77,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2025-12,77,2237,2119,401.6,2119,0,No,195,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-01,195,1626,2281,395.2,1821,460,Yes,0,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-02,0,1753,2244,690.3,1753,491,Yes,0,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-03,0,1535,1313,380.1,1313,0,No,222,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-04,222,1125,1330,383.6,1330,0,No,17,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-05,17,0,1134,217.6,17,1117,Yes,0,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-06,0,1189,1091,251.5,1091,0,No,98,2,157.19,0.13,140.85,24
MED0005,Ibuprofen 10ml Inhaler,Cardiac,Cadila,No,2026-07,98,872,967,328.4,967,0,No,3,2,157.19,0.13,140.85,24
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-08,493,0,1998,498.1,493,1505,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-09,0,2648,2241,493.3,2241,0,No,407,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-10,407,1636,2069,462,2043,26,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-11,0,2314,2516,733.3,2314,202,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2025-12,0,0,2036,561.2,0,2036,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-01,0,2770,2646,810,2646,0,No,124,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-02,124,2406,2595,676.8,2530,65,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-03,0,3107,2547,710.2,2547,0,No,560,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-04,560,0,2583,862.6,560,2023,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-05,0,2489,2340,697.6,2340,0,No,149,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-06,149,1562,2079,643.4,1711,368,Yes,0,4,132.63,0.12,171.25,12
MED0006,Hepatitis B Vaccine 1mg Capsule,Dermatological,Cipla,Yes,2026-07,0,1623,2284,422.1,1623,661,Yes,0,4,132.63,0.12,171.25,12
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-08,1523,2985,2484,680.4,2484,0,No,2024,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-09,2024,1480,1865,324.7,1865,0,No,1639,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-10,1639,2402,1864,593.7,1864,0,No,2177,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-11,2177,1142,1255,264.3,1255,0,No,2064,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2025-12,2064,1577,1496,244,1496,0,No,2145,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-01,2145,1543,1280,257.5,1280,0,No,2408,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-02,2408,1501,1297,409,1297,0,No,2612,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-03,2612,2383,1953,374,1953,0,No,3042,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-04,3042,2040,2597,891.6,2597,0,No,2485,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-05,2485,4092,3352,1140.8,3352,0,No,3225,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-06,3225,0,3637,800.3,3225,412,Yes,0,14,680.11,0.19,69.58,24
MED0007,Aspirin 250mg Injection,Analgesic,Mankind,No,2026-07,0,2732,2830,600.8,2732,98,Yes,0,14,680.11,0.19,69.58,24
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-08,243,1413,1527,345.8,1527,0,No,129,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-09,129,1240,1353,345.3,1353,0,No,16,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-10,16,1230,1420,403.5,1246,174,Yes,0,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-11,0,1734,1593,469.5,1593,0,No,141,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2025-12,141,1243,1210,331.1,1210,0,No,174,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-01,174,1715,1350,224.5,1350,0,No,539,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-02,539,0,1371,333.6,539,832,Yes,0,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-03,0,1220,1214,356.2,1214,0,No,6,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-04,6,1058,1301,388.9,1064,237,Yes,0,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-05,0,1514,1393,288.7,1393,0,No,121,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-06,121,1095,1473,463.9,1216,257,Yes,0,3,570.74,0.24,214,12
MED0008,Hydrochlorothiazide 2.5mg Inhaler,Antidiabetic,Biocon,No,2026-07,0,1479,1314,454.6,1314,0,No,165,3,570.74,0.24,214,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-08,141,301,241,38,241,0,No,201,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-09,201,367,290,74.9,290,0,No,278,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-10,278,265,315,51.3,315,0,No,228,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-11,228,352,386,93.1,386,0,No,194,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2025-12,194,473,431,108.1,431,0,No,236,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-01,236,400,485,163.5,485,0,No,151,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-02,151,462,361,107.7,361,0,No,252,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-03,252,240,335,90.5,335,0,No,157,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-04,157,228,221,53.5,221,0,No,164,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-05,164,169,225,46.3,225,0,No,108,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-06,108,264,204,61.2,204,0,No,168,14,199.81,0.19,274.22,12
MED0009,Atenolol 10ml Syrup,Dermatological,Zydus,No,2026-07,168,202,210,52.4,210,0,No,160,14,199.81,0.19,274.22,12
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-08,971,3292,2690,878.3,2690,0,No,1573,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-09,1573,1966,2213,725.2,2213,0,No,1326,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-10,1326,0,2559,865.3,1326,1233,Yes,0,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-11,0,1996,2436,782.7,1996,440,Yes,0,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2025-12,0,2883,2492,566,2492,0,No,391,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-01,391,1876,2553,887.6,2267,286,Yes,0,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-02,0,3003,2368,561.7,2368,0,No,635,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-03,635,3119,2754,560.9,2754,0,No,1000,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-04,1000,3362,2887,942.1,2887,0,No,1475,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-05,1475,0,2597,676.6,1475,1122,Yes,0,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-06,0,1612,2263,579.1,1612,651,Yes,0,5,175.14,0.19,313.82,6
MED0010,Furosemide 10ml Syrup,Anesthetic,Glenmark,Yes,2026-07,0,2783,2720,425.7,2720,0,No,63,5,175.14,0.19,313.82,6
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-08,475,3488,2896,471.2,2896,0,No,1067,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-09,1067,4158,3343,789.2,3343,0,No,1882,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-10,1882,1913,2640,720.9,2640,0,No,1155,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-11,1155,3523,2776,563.7,2776,0,No,1902,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2025-12,1902,0,2707,845.4,1902,805,Yes,0,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-01,0,3413,2943,483,2943,0,No,470,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-02,470,3904,3047,959.1,3047,0,No,1327,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-03,1327,2384,3096,1036.9,3096,0,No,615,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-04,615,2903,2934,514.5,2934,0,No,584,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-05,584,3001,3017,458.6,3017,0,No,568,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-06,568,3728,3303,748.9,3303,0,No,993,2,408.84,0.19,108.85,12
MED0011,Streptokinase 5ml Tablet,Emergency/Critical Care,Dr Reddy's,No,2026-07,993,2491,3000,629.4,3000,0,No,484,2,408.84,0.19,108.85,12
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-08,1645,0,853,191.4,853,0,No,792,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-09,792,657,879,269.1,879,0,No,570,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-10,570,0,952,144.7,570,382,Yes,0,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-11,0,1270,1048,318.9,1048,0,No,222,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2025-12,222,1221,1012,162.4,1012,0,No,431,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-01,431,1262,1046,263.3,1046,0,No,647,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-02,647,856,1025,354.8,1025,0,No,478,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-03,478,648,876,270.3,876,0,No,250,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-04,250,1013,1103,170.9,1103,0,No,160,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-05,160,1328,1058,276.1,1058,0,No,430,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-06,430,901,818,135,818,0,No,513,21,769.98,0.16,194.15,6
MED0012,Enoxaparin 5ml Ointment,Cardiac,Cipla,Yes,2026-07,513,870,1071,259.2,1071,0,No,312,21,769.98,0.16,194.15,6
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-08,602,1002,1334,271.8,1334,0,No,270,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-09,270,0,1190,298.2,270,920,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-10,0,1208,1149,249.1,1149,0,No,59,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-11,59,917,997,301.3,976,21,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2025-12,0,855,1013,304.9,855,158,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-01,0,878,1108,206.9,878,230,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-02,0,1042,1119,323.8,1042,77,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-03,0,0,1142,299.7,0,1142,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-04,0,0,1022,333.4,0,1022,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-05,0,1145,1242,414.8,1145,97,Yes,0,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-06,0,1365,1194,389.7,1194,0,No,171,7,424.98,0.19,211.4,12
MED0013,Amoxicillin 1mg Syrup,Gastrointestinal,Mankind,No,2026-07,171,1005,1024,290.6,1024,0,No,152,7,424.98,0.19,211.4,12
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-08,766,651,740,228,740,0,No,677,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-09,677,721,836,268.3,836,0,No,562,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-10,562,946,902,180.8,902,0,No,606,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-11,606,1585,1339,360.6,1339,0,No,852,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2025-12,852,0,1643,284.8,852,791,Yes,0,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-01,0,2141,1753,591.3,1753,0,No,388,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-02,388,0,1541,307.5,388,1153,Yes,0,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-03,0,828,898,265.5,828,70,Yes,0,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-04,0,0,816,240.8,0,816,Yes,0,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-05,0,825,693,171.2,693,0,No,132,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-06,132,664,643,200.3,643,0,No,153,21,319.36,0.25,287.49,36
MED0014,Telmisartan 10mg Drops,Vaccine,Torrent,No,2026-07,153,0,810,188.2,153,657,Yes,0,21,319.36,0.25,287.49,36
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-08,551,2075,1668,463.5,1668,0,No,958,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-09,958,2082,1805,301.6,1805,0,No,1235,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-10,1235,1938,2252,560.6,2252,0,No,921,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-11,921,2909,2618,863.2,2618,0,No,1212,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2025-12,1212,3273,3668,615.3,3668,0,No,817,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-01,817,2704,3179,629,3179,0,No,342,4,77.39,0.27,163.25,6
MED0015,Azithromycin 1mg Capsule,Emergency/Critical Care,Mankind,No,2026-02,342,2860,2742,485.3,2742,0,No,460,4,77.39,0.27,163.25,6
